person,start_time,end_time,latitude,longitude
110000002,07:26:59,07:40:59,38.912796,-77.061104
110000002,14:30:00,14:40:59,38.933456,-77.06102
110000002,16:34:59,17:45:00,38.912796,-77.061104
110000002,18:15:00,18:30:00,38.929025,-76.567939
110000002,19:00:00,19:19:59,39.087078,-76.554893
110000003,05:07:00,06:07:00,38.913686,-77.05723
110000003,17:10:00,18:01:00,38.869484,-77.057384
110000003,19:15:00,20:45:00,38.8919,-77.0178
